CCN,critical_access,teaching_status,urban_rural,referral_center,num_beds,type_of_service,state_code,ownership_type_simple,bed_size_simple
161359,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
173300,Not Critical Access,Non Teaching,Urban,Non Referral Center,42,Children,MO,Nonprofit,Small
190317,Not Critical Access,Teaching,Urban,Non Referral Center,118,General Short Term,LA,Nonprofit,Small
230005,Not Critical Access,Non Teaching,Rural,Non Referral Center,58,General Short Term,OH,Nonprofit,Small
230019,Not Critical Access,Teaching,Rural,Referral Center,527,General Short Term,MI,Nonprofit,Large
230029,Not Critical Access,Teaching,Rural,Referral Center,333,General Short Term,MI,Nonprofit,Medium
230037,Not Critical Access,Non Teaching,Rural,Referral Center,44,General Short Term,NA,Nonprofit,Small
230077,Not Critical Access,Teaching,Rural,Referral Center,166,General Short Term,MI,Nonprofit,Medium
230099,Not Critical Access,Teaching,Urban,Non Referral Center,147,General Short Term,OH,Nonprofit,Small
230195,Not Critical Access,Teaching,Rural,Referral Center,393,General Short Term,MI,Nonprofit,Medium
260001,Not Critical Access,Non Teaching,Rural,Referral Center,242,General Short Term,MO,Nonprofit,Medium
260047,Not Critical Access,Teaching,Rural,Referral Center,100,General Short Term,NA,Nonprofit,Small
261310,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
263303,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Children,NA,Nonprofit,Small
272001,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Long Term,TX,Proprietary,Small
280060,Not Critical Access,Teaching,Urban,Non Referral Center,389,General Short Term,CO,Nonprofit,Medium
280081,Not Critical Access,Teaching,Urban,Non Referral Center,177,General Short Term,CO,Nonprofit,Medium
280105,Not Critical Access,Non Teaching,Urban,Non Referral Center,28,General Short Term,CO,Nonprofit,Small
280128,Not Critical Access,Non Teaching,Urban,Non Referral Center,63,General Short Term,CO,Nonprofit,Small
280130,Not Critical Access,Non Teaching,Urban,Non Referral Center,109,General Short Term,CO,Nonprofit,Small
281302,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NE,Governmental,Small
281309,Critical Access,Non Teaching,Rural,Non Referral Center,10,General Short Term,NA,Governmental,Small
281329,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
281332,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
281346,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,CO,Nonprofit,Small
330080,Not Critical Access,Teaching,Urban,Non Referral Center,287,General Short Term,NY,Governmental,Medium
351335,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
380052,Not Critical Access,Non Teaching,Rural,Non Referral Center,35,General Short Term,MI,Nonprofit,Small
393303,Not Critical Access,Teaching,Urban,Non Referral Center,667,Children,NA,Nonprofit,Large
400004,Not Critical Access,Non Teaching,Urban,Non Referral Center,125,General Short Term,NA,Nonprofit,Small
431324,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,SD,Nonprofit,Small
524018,Not Critical Access,Non Teaching,Urban,Non Referral Center,227,Psychiatric,WI,Nonprofit,Medium
531301,Critical Access,Non Teaching,Rural,Non Referral Center,10,General Short Term,NA,Nonprofit,Small
40039,Not Critical Access,Non Teaching,Rural,Referral Center,114,General Short Term,NA,Nonprofit,Small
40055,Not Critical Access,Teaching,Rural,Referral Center,320,General Short Term,AR,Nonprofit,Medium
40154,Not Critical Access,Non Teaching,Urban,Non Referral Center,108,General Short Term,AR,Nonprofit,Small
50132,Not Critical Access,Non Teaching,Urban,Non Referral Center,187,General Short Term,CA,Proprietary,Medium
50159,Not Critical Access,Teaching,Urban,Non Referral Center,272,General Short Term,NA,Governmental,Medium
50174,Not Critical Access,Non Teaching,Rural,Referral Center,272,General Short Term,WA,Nonprofit,Medium
50228,Not Critical Access,Teaching,Urban,Non Referral Center,284,General Short Term,NA,Governmental,Medium
80003,Not Critical Access,Teaching,Urban,Non Referral Center,146,General Short Term,MI,Nonprofit,Small
80004,Not Critical Access,Teaching,Urban,Non Referral Center,279,General Short Term,DE,Nonprofit,Medium
80007,Not Critical Access,Non Teaching,Urban,Referral Center,210,General Short Term,NA,Nonprofit,Medium
100113,Not Critical Access,Teaching,Rural,Referral Center,994,General Short Term,FL,Nonprofit,Large
104059,Not Critical Access,Non Teaching,Urban,Non Referral Center,46,Psychiatric,NA,Nonprofit,Small
110030,Not Critical Access,Teaching,Urban,Non Referral Center,119,General Short Term,GA,Nonprofit,Small
120014,Not Critical Access,Non Teaching,Rural,Non Referral Center,72,General Short Term,HI,Nonprofit,Small
120022,Not Critical Access,Teaching,Rural,Referral Center,159,General Short Term,HI,Nonprofit,Medium
121300,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,HI,Governmental,Small
121306,Critical Access,Non Teaching,Rural,Non Referral Center,5,General Short Term,HI,Governmental,Small
140197,Not Critical Access,Non Teaching,Urban,Non Referral Center,145,General Short Term,IL,Nonprofit,Small
161371,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
161378,Critical Access,Non Teaching,Rural,Non Referral Center,13,General Short Term,MI,Nonprofit,Small
161380,Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,IA,Governmental,Small
170040,Not Critical Access,Teaching,Rural,Referral Center,955,General Short Term,KS,Governmental,Large
170203,Not Critical Access,Non Teaching,Rural,Non Referral Center,26,General Short Term,NA,Nonprofit,Small
171308,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MO,Nonprofit,Small
200052,Not Critical Access,Non Teaching,Rural,Non Referral Center,40,General Short Term,NA,Nonprofit,Small
201314,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
230130,Not Critical Access,Teaching,Rural,Referral Center,1026,General Short Term,MI,Nonprofit,Large
250049,Not Critical Access,Non Teaching,Rural,Non Referral Center,17,General Short Term,NA,Nonprofit,Small
260177,Not Critical Access,Non Teaching,Urban,Non Referral Center,199,General Short Term,MO,Governmental,Medium
261335,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MO,Nonprofit,Small
263302,Not Critical Access,Teaching,Urban,Non Referral Center,328,Children,MO,Nonprofit,Medium
281358,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
364048,Not Critical Access,Non Teaching,Urban,Non Referral Center,59,Psychiatric,TN,Proprietary,Small
370089,Not Critical Access,Teaching,Rural,Non Referral Center,80,General Short Term,OK,Governmental,Small
381315,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,MI,Nonprofit,Small
390071,Not Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,PA,Nonprofit,Small
390162,Not Critical Access,Teaching,Rural,Referral Center,29,General Short Term,NA,Nonprofit,Small
390196,Not Critical Access,Teaching,Urban,Non Referral Center,100,Cancer,PA,Nonprofit,Small
420019,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,General Short Term,SC,Governmental,Small
424005,Not Critical Access,Non Teaching,Urban,Non Referral Center,370,Psychiatric,SC,Governmental,Medium
424011,Not Critical Access,Non Teaching,Urban,Non Referral Center,98,Psychiatric,SC,Governmental,Small
440061,Not Critical Access,Non Teaching,Rural,Non Referral Center,38,General Short Term,TN,Governmental,Small
440072,Not Critical Access,Non Teaching,Rural,Non Referral Center,109,General Short Term,TN,Governmental,Small
450046,Not Critical Access,Teaching,Urban,Non Referral Center,515,General Short Term,TX,Nonprofit,Large
450165,Not Critical Access,Non Teaching,Urban,Non Referral Center,67,General Short Term,TN,Proprietary,Small
450235,Not Critical Access,Non Teaching,Rural,Non Referral Center,34,General Short Term,NA,Governmental,Small
494021,Not Critical Access,Teaching,Urban,Non Referral Center,84,Psychiatric,VA,Governmental,Small
494029,Not Critical Access,Non Teaching,Rural,Non Referral Center,109,Psychiatric,VA,Governmental,Small
494033,Not Critical Access,Non Teaching,Urban,Non Referral Center,132,Psychiatric,VA,Governmental,Small
21304,Critical Access,Non Teaching,Rural,Non Referral Center,12,General Short Term,NA,Governmental,Small
30055,Not Critical Access,Teaching,Urban,Referral Center,196,General Short Term,NA,Nonprofit,Medium
50054,Not Critical Access,Teaching,Urban,Non Referral Center,79,General Short Term,NA,Governmental,Small
50056,Not Critical Access,Non Teaching,Urban,Non Referral Center,393,General Short Term,NA,Governmental,Medium
50423,Not Critical Access,Non Teaching,Urban,Non Referral Center,19,General Short Term,NA,Governmental,Small
50636,Not Critical Access,Non Teaching,Urban,Non Referral Center,95,General Short Term,CA,Governmental,Small
51318,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,CA,Nonprofit,Small
54110,Not Critical Access,Non Teaching,Urban,Non Referral Center,148,Psychiatric,PA,Proprietary,Small
111304,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
130003,Not Critical Access,Non Teaching,Urban,Referral Center,110,General Short Term,TN,Proprietary,Small
150012,Not Critical Access,Teaching,Rural,Non Referral Center,253,General Short Term,IN,Nonprofit,Medium
150076,Not Critical Access,Non Teaching,Rural,Non Referral Center,45,General Short Term,IN,Nonprofit,Small
150115,Not Critical Access,Teaching,Rural,Referral Center,96,General Short Term,IN,Nonprofit,Small
160057,Not Critical Access,Non Teaching,Rural,Referral Center,174,General Short Term,IA,Nonprofit,Medium
161341,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
161373,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,IA,Governmental,Small
170013,Not Critical Access,Non Teaching,Rural,Referral Center,144,General Short Term,KS,Nonprofit,Small
171313,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
171315,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,NA,Nonprofit,Small
171345,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,KS,Governmental,Small
171348,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
220066,Not Critical Access,Non Teaching,Urban,Non Referral Center,150,General Short Term,MI,Nonprofit,Medium
230002,Not Critical Access,Teaching,Urban,Non Referral Center,239,General Short Term,MI,Nonprofit,Medium
230132,Not Critical Access,Teaching,Urban,Non Referral Center,369,General Short Term,NA,Governmental,Medium
261336,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
281351,Critical Access,Non Teaching,Rural,Non Referral Center,15,General Short Term,NA,Governmental,Small
330396,Not Critical Access,Teaching,Urban,Non Referral Center,238,General Short Term,NY,Governmental,Medium
344004,Not Critical Access,Teaching,Urban,Non Referral Center,338,Psychiatric,NC,Governmental,Medium
351301,Critical Access,Non Teaching,Rural,Non Referral Center,11,General Short Term,NA,Nonprofit,Small
380009,Not Critical Access,Teaching,Rural,Referral Center,549,General Short Term,NA,Governmental,Large
381309,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,NA,Governmental,Small
381325,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
464001,Not Critical Access,Non Teaching,Urban,Non Referral Center,348,Psychiatric,NA,Governmental,Medium
500050,Not Critical Access,Teaching,Urban,Non Referral Center,408,General Short Term,WA,Nonprofit,Large
10022,Not Critical Access,Non Teaching,Rural,Non Referral Center,45,General Short Term,GA,Nonprofit,Small
110036,Not Critical Access,Teaching,Urban,Non Referral Center,590,General Short Term,TN,Governmental,Large
110044,Not Critical Access,Non Teaching,Rural,Non Referral Center,54,General Short Term,GA,Nonprofit,Small
111330,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,GA,Nonprofit,Small
120001,Not Critical Access,Teaching,Rural,Referral Center,674,General Short Term,HI,Nonprofit,Large
161305,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
161322,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
161328,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,SD,Governmental,Small
161335,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
161364,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
161365,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
190099,Not Critical Access,Non Teaching,Rural,Non Referral Center,37,General Short Term,LA,Proprietary,Small
210068,Not Critical Access,Non Teaching,Urban,Non Referral Center,250,General Short Term,NA,Governmental,Medium
230054,Not Critical Access,Teaching,Rural,Referral Center,163,General Short Term,TN,Proprietary,Medium
230066,Not Critical Access,Teaching,Rural,Non Referral Center,297,General Short Term,MI,Nonprofit,Medium
230097,Not Critical Access,Teaching,Rural,Referral Center,401,General Short Term,MI,Nonprofit,Large
230117,Not Critical Access,Teaching,Rural,Referral Center,228,General Short Term,MI,Nonprofit,Medium
230133,Not Critical Access,Non Teaching,Rural,Non Referral Center,46,General Short Term,MI,Nonprofit,Small
230254,Not Critical Access,Teaching,Rural,Non Referral Center,153,General Short Term,MI,Nonprofit,Medium
230303,Not Critical Access,Non Teaching,Rural,Non Referral Center,45,General Short Term,MI,Nonprofit,Small
231300,Critical Access,Non Teaching,Rural,Non Referral Center,8,General Short Term,MI,Nonprofit,Small
231305,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
231309,Critical Access,Non Teaching,Rural,Non Referral Center,18,General Short Term,WI,Nonprofit,Small
231315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
231318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
231319,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
231322,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
231324,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Nonprofit,Small
231328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,MI,Nonprofit,Small
231333,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,WI,Nonprofit,Small
232034,Not Critical Access,Non Teaching,Rural,Non Referral Center,43,General Long Term,MI,Nonprofit,Small
260048,Not Critical Access,Teaching,Urban,Non Referral Center,258,General Short Term,MO,Nonprofit,Medium
260102,Not Critical Access,Teaching,Urban,Non Referral Center,117,General Short Term,MO,Nonprofit,Small
260141,Not Critical Access,Teaching,Rural,Referral Center,521,General Short Term,NA,Governmental,Large
261318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
261332,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Nonprofit,Small
280009,Not Critical Access,Teaching,Rural,Referral Center,182,General Short Term,CO,Nonprofit,Medium
281331,Critical Access,Non Teaching,Rural,Non Referral Center,23,General Short Term,SD,Nonprofit,Small
313035,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Rehabilitation,AL,Proprietary,Small
444001,Not Critical Access,Non Teaching,Urban,Non Referral Center,55,Psychiatric,TN,Governmental,Small
444002,Not Critical Access,Non Teaching,Urban,Non Referral Center,165,Psychiatric,TN,Governmental,Medium
444008,Not Critical Access,Non Teaching,Rural,Non Referral Center,150,Psychiatric,TN,Governmental,Medium
444014,Not Critical Access,Non Teaching,Urban,Non Referral Center,106,Psychiatric,TN,Governmental,Small
490104,Not Critical Access,Non Teaching,Urban,Non Referral Center,4,General Short Term,VA,Governmental,Small
494010,Not Critical Access,Teaching,Urban,Non Referral Center,94,Psychiatric,VA,Governmental,Small
330127,Not Critical Access,Teaching,Urban,Non Referral Center,440,General Short Term,NY,Governmental,Large
41321,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AR,Nonprofit,Small
74012,Not Critical Access,Non Teaching,Urban,Non Referral Center,62,Psychiatric,NA,Governmental,Small
100276,Not Critical Access,Teaching,Urban,Non Referral Center,228,General Short Term,FL,Governmental,Medium
161315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
161369,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
191325,Critical Access,Non Teaching,Rural,Non Referral Center,NA,General Short Term,NA,Governmental,NA
224028,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Psychiatric,NA,Governmental,Small
224031,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Psychiatric,NA,Governmental,Small
230069,Not Critical Access,Teaching,Urban,Non Referral Center,42,General Short Term,MI,Nonprofit,Small
230156,Not Critical Access,Teaching,Urban,Non Referral Center,475,General Short Term,NA,Nonprofit,Large
281349,Critical Access,Non Teaching,Rural,Non Referral Center,21,General Short Term,NA,Governmental,Small
281360,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
321307,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
370178,Not Critical Access,Non Teaching,Rural,Non Referral Center,30,General Short Term,NA,Nonprofit,Small
390027,Not Critical Access,Teaching,Rural,Non Referral Center,761,General Short Term,PA,Nonprofit,Large
390123,Not Critical Access,Non Teaching,Urban,Non Referral Center,185,General Short Term,PA,Nonprofit,Medium
390127,Not Critical Access,Teaching,Rural,Referral Center,130,General Short Term,PA,Nonprofit,Small
390272,Not Critical Access,Non Teaching,Urban,Non Referral Center,70,General Short Term,NA,Proprietary,Small
393307,Not Critical Access,Teaching,Urban,Non Referral Center,188,Children,PA,Nonprofit,Medium
450007,Not Critical Access,Non Teaching,Rural,Referral Center,98,General Short Term,NA,Nonprofit,Small
450573,Not Critical Access,Non Teaching,Rural,Non Referral Center,40,General Short Term,TX,Nonprofit,Small
453072,Not Critical Access,Non Teaching,Urban,Non Referral Center,49,Rehabilitation,TN,Proprietary,Small
673063,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Rehabilitation,TX,Proprietary,Small
673070,Not Critical Access,Non Teaching,Urban,Non Referral Center,66,Rehabilitation,AL,Proprietary,Small
20017,Not Critical Access,Non Teaching,Urban,Referral Center,169,General Short Term,TN,Proprietary,Medium
34039,NA,NA,NA,NA,NA,Rehabilitation,NA,Proprietary,NA
50009,Not Critical Access,Non Teaching,Rural,Referral Center,119,General Short Term,WA,Nonprofit,Small
54089,Not Critical Access,Non Teaching,Urban,Non Referral Center,13,Psychiatric,CA,Nonprofit,Small
110007,Not Critical Access,Teaching,Rural,Referral Center,338,General Short Term,GA,Nonprofit,Medium
111328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,GA,Nonprofit,Small
150017,Not Critical Access,Teaching,Urban,Non Referral Center,387,General Short Term,TN,Proprietary,Medium
160033,Not Critical Access,Teaching,Rural,Referral Center,322,General Short Term,IA,Nonprofit,Medium
230165,Not Critical Access,Teaching,Rural,Referral Center,556,General Short Term,MI,Nonprofit,Large
281361,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
291311,Critical Access,Teaching,Rural,Non Referral Center,25,General Short Term,PA,Proprietary,Small
350070,Not Critical Access,Non Teaching,Rural,Referral Center,142,General Short Term,MN,Nonprofit,Small
430095,Not Critical Access,Non Teaching,Urban,Non Referral Center,53,General Short Term,SD,Proprietary,Small
510030,Not Critical Access,Non Teaching,Rural,Non Referral Center,90,General Short Term,WV,Nonprofit,Small
40072,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,AR,Nonprofit,Small
43026,Not Critical Access,Teaching,Urban,Non Referral Center,120,Rehabilitation,AR,Nonprofit,Small
44011,Not Critical Access,Teaching,Urban,Non Referral Center,230,Psychiatric,NA,Governmental,Medium
80001,Not Critical Access,Teaching,Urban,Non Referral Center,1172,General Short Term,NA,Nonprofit,Large
93300,Not Critical Access,Teaching,Urban,Non Referral Center,323,Children,DC,Nonprofit,Medium
100001,Not Critical Access,Teaching,Rural,Referral Center,481,General Short Term,NA,Nonprofit,Large
100200,Not Critical Access,Teaching,Urban,Non Referral Center,157,General Short Term,FL,Governmental,Medium
161311,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
213301,Not Critical Access,Teaching,Urban,Non Referral Center,50,Children,NA,Nonprofit,Small
390113,Not Critical Access,Teaching,Rural,Referral Center,200,General Short Term,PA,Nonprofit,Medium
391302,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,TN,Proprietary,Small
394004,Not Critical Access,Non Teaching,Urban,Non Referral Center,161,Psychiatric,PA,Governmental,Medium
394026,Not Critical Access,Non Teaching,Urban,Non Referral Center,357,Psychiatric,PA,Governmental,Medium
441307,Critical Access,Non Teaching,Urban,Non Referral Center,25,General Short Term,TN,Proprietary,Small
40088,Not Critical Access,Teaching,Rural,Referral Center,105,General Short Term,TN,Proprietary,Small
70007,Not Critical Access,Teaching,Rural,Referral Center,236,General Short Term,CT,Nonprofit,Medium
100110,Not Critical Access,Teaching,Urban,Non Referral Center,351,General Short Term,TN,Proprietary,Medium
140275,Not Critical Access,Non Teaching,Urban,Non Referral Center,145,General Short Term,IA,Nonprofit,Small
150001,Not Critical Access,Non Teaching,Urban,Non Referral Center,58,General Short Term,NA,Governmental,Small
160101,Not Critical Access,Teaching,Urban,Non Referral Center,113,General Short Term,NA,Governmental,Small
171372,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
190045,Not Critical Access,Non Teaching,Urban,Non Referral Center,213,General Short Term,NA,Governmental,Medium
264020,NA,NA,NA,NA,NA,Psychiatric,NA,Nonprofit,NA
281311,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
281312,Critical Access,Non Teaching,Rural,Non Referral Center,19,General Short Term,NA,Governmental,Small
281314,Critical Access,Non Teaching,Rural,Non Referral Center,16,General Short Term,NA,Governmental,Small
281333,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,NA,Governmental,Small
281356,Critical Access,Non Teaching,Rural,Non Referral Center,20,General Short Term,NA,Governmental,Small
330219,Not Critical Access,Teaching,Urban,Non Referral Center,410,General Short Term,NA,Governmental,Large
400135,Not Critical Access,Non Teaching,Urban,Non Referral Center,48,General Short Term,NA,Governmental,Small
410013,Not Critical Access,Non Teaching,Urban,Non Referral Center,77,General Short Term,CT,Nonprofit,Small
82000,Not Critical Access,Non Teaching,Urban,Non Referral Center,34,General Long Term,PA,Proprietary,Small
362019,Not Critical Access,Non Teaching,Urban,Non Referral Center,71,General Long Term,PA,Proprietary,Small
390204,Not Critical Access,Teaching,Urban,Non Referral Center,152,General Short Term,PA,Nonprofit,Medium
394034,Not Critical Access,Non Teaching,Urban,Non Referral Center,206,Psychiatric,PA,Proprietary,Medium
451334,Critical Access,Non Teaching,Rural,Non Referral Center,14,General Short Term,NA,Governmental,Small
31301,Critical Access,Non Teaching,Rural,Non Referral Center,22,General Short Term,AZ,Nonprofit,Small
40114,Not Critical Access,Teaching,Urban,Non Referral Center,718,General Short Term,AR,Nonprofit,Large
41322,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
50128,Not Critical Access,Teaching,Urban,Non Referral Center,310,General Short Term,NA,Governmental,Medium
60028,Not Critical Access,Teaching,Rural,Non Referral Center,400,General Short Term,CO,Nonprofit,Large
70010,Not Critical Access,Teaching,Rural,Referral Center,387,General Short Term,CT,Nonprofit,Medium
141347,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Nonprofit,Small
143032,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,Rehabilitation,AL,Proprietary,Small
171327,Critical Access,Non Teaching,Rural,Non Referral Center,19,General Short Term,NA,Governmental,Small
190176,Not Critical Access,Teaching,Urban,Non Referral Center,431,General Short Term,TN,Proprietary,Large
213300,NA,NA,NA,NA,NA,General Short Term,NA,Nonprofit,NA
231320,Critical Access,Non Teaching,Rural,Non Referral Center,24,General Short Term,MI,Nonprofit,Small
241991,Not Critical Access,Non Teaching,Urban,Non Referral Center,6,Religious Non Medical Healthcare,NA,Nonprofit,Small
260059,Not Critical Access,Non Teaching,Rural,Non Referral Center,43,General Short Term,MO,Nonprofit,Small
280023,Not Critical Access,Teaching,Urban,Referral Center,101,General Short Term,CO,Nonprofit,Small
310021,Not Critical Access,Teaching,Urban,Referral Center,134,General Short Term,MI,Nonprofit,Small
390048,Not Critical Access,Teaching,Rural,Referral Center,107,General Short Term,PA,Nonprofit,Small
390333,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Short Term,TX,Proprietary,Small
394001,Not Critical Access,Non Teaching,Urban,Non Referral Center,374,Psychiatric,PA,Governmental,Medium
394040,Not Critical Access,Non Teaching,Urban,Non Referral Center,119,Psychiatric,PA,Proprietary,Small
444029,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Psychiatric,TN,Proprietary,Small
512004,Not Critical Access,Non Teaching,Urban,Non Referral Center,34,General Long Term,PA,Proprietary,Small
514012,Not Critical Access,Non Teaching,Rural,Non Referral Center,200,Psychiatric,NA,Governmental,Medium
14007,Not Critical Access,Non Teaching,Urban,Non Referral Center,98,Psychiatric,NA,Governmental,Small
114028,Not Critical Access,Non Teaching,Urban,Non Referral Center,112,Psychiatric,NA,Governmental,Small
114029,Not Critical Access,Non Teaching,Urban,Non Referral Center,110,Psychiatric,GA,Governmental,Small
161318,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,NA,Governmental,Small
161336,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,SD,Nonprofit,Small
161375,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,IA,Governmental,Small
180079,Not Critical Access,Non Teaching,Rural,Non Referral Center,34,General Short Term,NA,Nonprofit,Small
183026,Not Critical Access,Teaching,Urban,Non Referral Center,158,Rehabilitation,AL,Proprietary,Medium
270049,Not Critical Access,Teaching,Urban,Non Referral Center,226,General Short Term,CO,Nonprofit,Medium
324014,Not Critical Access,Non Teaching,Urban,Non Referral Center,64,Psychiatric,NA,Proprietary,Small
340184,Not Critical Access,Non Teaching,Urban,Non Referral Center,121,General Short Term,TN,Proprietary,Small
360259,Not Critical Access,Non Teaching,Rural,Non Referral Center,77,General Short Term,OH,Nonprofit,Small
361315,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
361328,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,OH,Nonprofit,Small
400012,Not Critical Access,Non Teaching,Urban,Non Referral Center,40,General Short Term,NA,Nonprofit,Small
444003,Not Critical Access,Non Teaching,Urban,Non Referral Center,16,Psychiatric,NA,Nonprofit,Small
452097,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,General Long Term,PA,Proprietary,Small
20024,Not Critical Access,Non Teaching,Rural,Non Referral Center,49,General Short Term,NA,Nonprofit,Small
41309,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AR,Nonprofit,Small
41312,Critical Access,Non Teaching,Rural,Non Referral Center,25,General Short Term,AR,Nonprofit,Small
42012,Not Critical Access,Non Teaching,Urban,Non Referral Center,36,General Long Term,AR,Nonprofit,Small
100073,Not Critical Access,Teaching,Urban,Non Referral Center,286,General Short Term,MI,Nonprofit,Medium
102022,Not Critical Access,Non Teaching,Urban,Non Referral Center,48,General Long Term,PA,Proprietary,Small
104001,Not Critical Access,Non Teaching,Urban,Non Referral Center,50,Psychiatric,NA,Governmental,Small
104007,Not Critical Access,Non Teaching,Urban,Non Referral Center,60,Psychiatric,NA,Governmental,Small
190026,Not Critical Access,Teaching,Urban,Non Referral Center,375,General Short Term,TN,Proprietary,Medium
